archiveID,url,verdict,detail
Jsc2018m000190STEMonstrations_Newtons_Third_Law_of_Motion,https://archivewatch.org/subs/Jsc2018m000190STEMonstrations_Newtons_Third_Law_of_Motion/en.vtt,ok,88 cues
George_Burns_And_Gracie_Allen_-_Jack_Benny_Guests,https://archivewatch.org/subs/George_Burns_And_Gracie_Allen_-_Jack_Benny_Guests/en.vtt,ok,500 cues
captain-planet-atp-s-01-e-05-deadly-ransom-480p-amzn-web-dl,https://archivewatch.org/subs/captain-planet-atp-s-01-e-05-deadly-ransom-480p-amzn-web-dl/en.vtt,ok,427 cues
CarnivalOfSouls1962,https://archivewatch.org/subs/CarnivalOfSouls1962/en.vtt,ok,524 cues
TheMemphisBelleAStoryofaFlyingFortress,https://archivewatch.org/subs/TheMemphisBelleAStoryofaFlyingFortress/en.vtt,ok,350 cues
cold_sweat.avi,https://archivewatch.org/subs/cold_sweat.avi/en.vtt,ok,1088 cues
BlondeIce,https://archivewatch.org/subs/BlondeIce/en.vtt,ok,1469 cues
ShieldForMurder,https://archivewatch.org/subs/ShieldForMurder/en.vtt,ok,1038 cues
ph884535312,https://archivewatch.org/subs/ph884535312/en.vtt,ok,1136 cues
man-of-the-moment,https://archivewatch.org/subs/man-of-the-moment/en.vtt,ok,1068 cues
bombay-talkie-1970,https://archivewatch.org/subs/bombay-talkie-1970/en.vtt,ok,1031 cues
the-fall-of-the-roman-empire-1964,https://archivewatch.org/subs/the-fall-of-the-roman-empire-1964/en.vtt,ok,1450 cues
monstrosity-1963,https://archivewatch.org/subs/monstrosity-1963/en.vtt,ok,572 cues
plane-dead-dvdrip,https://archivewatch.org/subs/plane-dead-dvdrip/en.vtt,ok,1179 cues
the-deadly-companion-4-k,https://archivewatch.org/subs/the-deadly-companion-4-k/en.vtt,ok,572 cues
scarlet-street-1945_202404,https://archivewatch.org/subs/scarlet-street-1945_202404/en.vtt,ok,1451 cues
TheAdventuresOfOzzieHarriet-TheProwler1965,https://archivewatch.org/subs/TheAdventuresOfOzzieHarriet-TheProwler1965/en.vtt,ok,685 cues
1946-08-19_President_on_Vacation,https://archivewatch.org/subs/1946-08-19_President_on_Vacation/en.vtt,ok,27 cues
